Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-July-2015,271.50,274.25,267.95,273.55,271.711652379746733700,995316,10360,270438955.00,178980,17.98,6.30,2.05
10-July-2015,270.00,271.00,266.65,270.50,269.554280503726832503,723805,8048,195104736.00,143727,19.86,4.35,0.50
9-July-2015,267.00,271.30,267.00,267.75,269.087219420977059471,748675,7566,201458874.00,110108,14.71,4.30,0.75
8-July-2015,269.90,271.00,265.60,267.40,268.232474700651324699,1020382,10988,273699589.00,238410,23.36,5.40,-2.50
7-July-2015,270.60,274.60,270.25,272.70,272.549626195650347173,773533,10777,210826130.00,241480,31.22,4.35,2.10
6-July-2015,262.55,271.70,261.90,270.90,266.861213083698156953,1061015,11259,283143750.00,267950,25.25,9.80,8.35
3-July-2015,267.90,269.90,266.80,268.85,268.392072146262034094,694589,8156,186422181.00,148830,21.43,3.10,0.95
2-July-2015,268.50,271.25,266.40,267.40,268.579914843243255271,898813,9362,241403119.00,172653,19.21,4.85,-1.10
1-July-2015,262.00,269.50,262.00,267.60,266.531787885065617028,1250209,12786,333220440.00,249610,19.97,7.50,5.60
30-June-2015,259.25,263.50,257.75,262.80,261.112772328462348956,2245542,11751,586339697.00,1233163,54.92,5.75,3.55
29-June-2015,258.00,260.35,255.00,259.55,257.458866072626701126,2869055,16758,738663647.00,1731027,60.33,5.35,1.55
26-June-2015,264.00,266.50,261.10,265.05,263.897557373209312315,1285051,10318,339121820.00,405111,31.52,5.40,1.05
25-June-2015,261.00,266.00,259.10,265.00,263.469817521493912212,1450527,11908,382170084.00,547325,37.73,6.90,4.00
24-June-2015,268.00,268.35,261.00,262.50,265.154813901781659697,847805,8556,224799577.00,248386,29.30,7.35,-5.50
23-June-2015,269.00,270.95,266.50,267.65,268.357092855473258684,1655659,14250,444307836.00,461181,27.85,4.45,-1.35
22-June-2015,260.80,267.20,260.70,265.85,264.941813203326781896,1473977,15510,390518139.00,366491,24.86,6.50,5.05
19-June-2015,260.00,262.85,258.20,260.15,260.243130219313034801,1165503,11372,303314149.00,255225,21.90,4.65,0.15
18-June-2015,256.05,260.90,255.25,258.05,258.601669162628523054,1580553,13612,408733644.00,562325,35.58,5.65,2.00
17-June-2015,256.00,257.00,253.65,255.10,255.642424067527595411,1732625,12283,442932455.00,849637,49.04,3.35,-0.90
16-June-2015,251.00,255.75,249.15,254.60,251.805390071977604211,1612446,17156,406022594.00,583239,36.17,6.60,3.60
15-June-2015,254.30,255.75,249.15,250.55,251.677276211144968625,1556523,15583,391741469.00,380322,24.43,6.60,-3.75
12-June-2015,254.00,255.50,251.90,253.95,253.829836370391430769,1146614,13001,291044844.00,331458,28.91,3.60,-0.05
11-June-2015,262.00,262.95,252.85,253.85,256.102103939018884466,1678946,17366,429981603.00,513169,30.56,10.10,-8.15
10-June-2015,258.30,262.40,258.30,260.05,260.861642310407661547,1075083,11936,280447917.00,257394,23.94,4.10,1.75
9-June-2015,255.00,258.00,253.90,257.40,256.098895003581999203,1539643,14254,394300871.00,359363,23.34,4.10,2.40
8-June-2015,258.80,259.95,252.95,254.85,254.897693126520681265,1315200,16041,335241446.00,494921,37.63,7.00,-3.95
5-June-2015,257.40,261.70,255.60,257.80,259.059828394994246663,1426998,16264,369677857.00,337976,23.68,6.10,0.40
4-June-2015,260.00,261.40,253.80,257.60,257.570428032953328221,2148129,21874,553294506.00,603203,28.08,7.60,-2.40
3-June-2015,267.15,268.00,255.10,257.55,259.526755230557683488,2706069,31970,702297307.00,886964,32.78,12.90,-9.60
2-June-2015,278.50,279.50,265.50,266.25,271.924704880666246862,3382530,39780,919793472.00,1085908,32.10,14.00,-12.25
1-June-2015,279.00,281.95,277.60,278.15,279.702037809193648199,1331528,15467,372431095.00,540655,40.60,4.35,-0.85
29-May-2015,278.00,281.50,277.20,278.15,279.326131445294869419,1683864,12766,470347217.00,724451,43.02,4.30,0.15
28-May-2015,280.20,280.25,276.20,277.50,277.754030880695674076,1683317,12926,467548082.00,600549,35.68,4.05,-2.70
27-May-2015,276.90,281.45,274.35,280.65,278.769155819423963945,1759126,14862,490390070.00,669755,38.07,7.10,3.75
26-May-2015,280.00,280.85,275.85,277.25,277.929374987057888547,1400467,14082,389230918.00,436348,31.16,5.00,-2.75
25-May-2015,280.00,284.15,276.20,277.70,280.278657236552765933,2510256,24347,703571181.00,798103,31.79,7.95,-2.30
22-May-2015,292.35,305.00,280.80,282.45,293.752658312039063024,9541299,98205,2802781945.00,1780863,18.66,24.20,-9.90
21-May-2015,294.40,294.70,288.25,289.35,290.109159115814992619,1461866,14829,424100716.00,507475,34.71,6.45,-5.05
20-May-2015,290.00,294.65,289.50,291.80,292.700731018118468835,1799545,18074,526728137.00,723281,40.19,5.15,1.80
19-May-2015,289.80,291.50,286.15,288.30,289.140751292196127268,1814740,13234,524715287.00,870819,47.99,5.35,-1.50
18-May-2015,289.70,290.00,285.55,288.75,287.739864323416821899,1522444,16202,438067830.00,572991,37.64,4.45,-0.95
15-May-2015,282.20,288.10,282.20,287.35,286.109477784719414942,2258513,21027,646181975.00,960768,42.54,5.90,5.15
14-May-2015,273.90,282.00,272.75,280.65,278.291384687644998566,1579757,18030,439632763.00,433664,27.45,9.25,6.75
13-May-2015,269.55,275.15,268.25,274.15,271.675585969173659470,1689594,13798,459021440.00,592394,35.06,6.90,4.60
12-May-2015,275.90,276.00,266.30,267.40,269.730267507184881736,1446092,14375,390054782.00,395816,27.37,9.70,-8.50
11-May-2015,264.70,277.00,262.55,276.05,272.646879083648308872,3357139,25765,915313471.00,1281345,38.17,14.45,11.35
8-May-2015,264.10,267.80,260.05,261.80,264.039668809411277134,1563571,29331,412844769.00,419980,26.86,7.75,-2.30
7-May-2015,264.00,267.25,259.95,261.30,263.028666419724086839,1328244,27807,349366248.00,308570,23.23,7.30,-2.70
6-May-2015,271.90,273.65,263.35,265.30,266.364730308265110140,1863980,40173,496498530.00,498252,26.73,10.30,-6.60
5-May-2015,277.50,277.50,271.65,272.15,273.699479949035997045,1008555,19354,276040979.00,361434,35.84,5.85,-5.35
4-May-2015,274.00,278.00,271.50,277.30,274.824367344365280890,872315,19716,239733418.00,276493,31.70,6.50,3.30
30-April-2015,271.50,273.35,266.95,270.05,270.795256961496409539,1261259,23533,341542955.00,318046,25.22,6.40,-1.45
29-April-2015,272.00,273.40,269.70,271.80,271.546045439738847278,862637,15550,234245666.00,187728,21.76,3.70,-0.20
28-April-2015,268.00,273.40,265.40,272.40,269.732297741383722339,1187984,23161,320437654.00,230424,19.40,8.00,4.40
27-April-2015,276.50,277.00,266.15,267.15,269.532747822660820722,1091355,26502,294155912.00,322962,29.59,10.85,-9.35
24-April-2015,279.00,279.35,274.35,275.65,276.490130992785243938,965244,22883,266880440.00,243936,25.27,5.00,-3.35
23-April-2015,285.10,287.20,276.30,277.25,280.243011276878239480,1706678,34201,478284582.00,439423,25.75,10.90,-7.85
22-April-2015,290.05,293.00,275.95,284.10,283.987564583388784108,1615547,30978,458795258.00,279431,17.30,17.05,-5.95
21-April-2015,287.00,291.00,281.60,289.05,287.265627577978385416,1230373,24552,353443872.00,250925,20.39,9.40,2.05
20-April-2015,290.95,293.00,284.75,287.45,289.672334644367661317,1079809,21628,312790794.00,225884,20.92,8.25,-3.50
17-April-2015,291.80,294.40,289.00,291.05,291.865126119259454492,1123064,22974,327783216.00,203162,18.09,5.40,-0.75
16-April-2015,290.00,293.70,286.30,291.45,290.535545506493423806,1256502,24282,365058494.00,240684,19.16,7.40,1.45
15-April-2015,287.00,294.50,286.00,290.00,290.710055343352380901,1511654,32221,439453018.00,473525,31.32,8.50,3.00
13-April-2015,288.00,288.50,283.20,285.45,285.410279087038350616,1650847,26072,471168703.00,486756,29.49,5.30,-2.55
10-April-2015,281.00,287.40,280.45,285.65,284.849240376516691981,1418795,28316,404142678.00,366663,25.84,6.95,4.65
9-April-2015,274.50,281.35,272.65,280.45,276.871856413248480929,2941107,34780,814309755.00,872967,29.68,8.70,5.95
8-April-2015,271.80,277.00,271.80,273.60,274.132446234519503949,948936,20356,260134147.00,179823,18.95,5.20,1.80
7-April-2015,275.10,276.30,270.35,271.90,273.279156341521699555,1686417,26135,460862615.00,660126,39.14,5.95,-3.20
6-April-2015,275.00,275.55,271.10,274.55,273.698834316531401962,1250511,20382,342263403.00,397520,31.79,4.45,-0.45
1-April-2015,266.90,274.55,263.65,273.45,269.200151144871683244,1182971,24181,318455972.00,316448,26.75,10.90,6.55
31-March-2015,269.30,271.20,266.00,267.00,268.545980806779716404,1468852,26790,394454301.00,421743,28.71,5.20,-2.30
