Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-January-2016,1093.00,1105.00,1076.00,1082.85,1090.073065283182014699,4626,737,5042678.00,1908,41.25,29.00,-10.15
5-January-2016,1125.00,1134.00,1084.00,1093.70,1108.721563205006913616,13741,1150,15234943.00,8007,58.27,50.00,-31.30
4-January-2016,1120.00,1155.00,1112.00,1118.15,1125.518921789934935599,7531,696,8476283.00,3727,49.49,43.00,-1.85
1-January-2016,1122.35,1123.30,1114.00,1117.50,1117.894773519163763066,1435,217,1604179.00,532,37.07,9.30,-4.85
31-December-2015,1118.85,1123.00,1111.05,1118.10,1118.216323072578367692,3541,435,3959604.00,1903,53.74,11.95,-0.75
30-December-2015,1120.75,1120.75,1108.55,1110.75,1114.509395424836601307,2448,301,2728319.00,1088,44.44,12.20,-10.00
29-December-2015,1125.00,1125.00,1112.70,1117.10,1118.363602668643439584,2698,347,3017345.00,741,27.46,12.30,-7.90
28-December-2015,1123.30,1132.00,1116.00,1119.35,1121.738407419251678925,3127,355,3507676.00,1399,44.74,16.00,-3.95
24-December-2015,1135.90,1139.30,1107.50,1116.80,1122.348602927200152062,5261,675,5904676.00,2769,52.63,31.80,-19.10
23-December-2015,1140.00,1147.00,1130.00,1130.85,1137.370173646578140960,4895,611,5567427.00,2279,46.56,17.00,-9.15
22-December-2015,1150.00,1152.25,1129.00,1130.75,1137.055532870559412004,2449,339,2784649.00,1134,46.30,23.25,-19.25
21-December-2015,1148.00,1155.80,1129.60,1141.55,1140.514745653573728267,7765,726,8856097.00,3053,39.32,26.20,-6.45
18-December-2015,1182.05,1206.00,1130.00,1139.65,1170.195788488535329901,10685,1333,12503542.00,5012,46.91,76.00,-42.40
17-December-2015,1212.60,1213.30,1165.00,1176.65,1186.029096001244748716,6427,814,7622609.00,2441,37.98,48.30,-35.95
16-December-2015,1197.80,1232.00,1179.20,1196.65,1212.891905171354870409,16282,1738,19748306.00,3287,20.19,52.80,-1.15
