Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-March-2015,1370.00,1397.80,1364.40,1389.05,1381.527057068476321408,136748,8698,188921062.00,58040,42.44,33.40,19.05
4-March-2015,1384.00,1399.80,1355.85,1365.20,1387.325808375149074053,177764,11329,246616585.00,67119,37.76,43.95,-18.80
3-March-2015,1350.00,1370.00,1343.40,1364.15,1357.678365184484389782,132125,9862,179383254.00,51584,39.04,26.60,14.15
2-March-2015,1342.10,1371.25,1319.00,1338.15,1339.799660975242990526,146302,9286,196015370.00,71988,49.21,52.25,-3.95
28-February-2015,1353.00,1379.00,1311.90,1336.15,1343.736013682455896652,230368,16359,309553778.00,48839,21.20,67.10,-16.85
27-February-2015,1345.70,1367.40,1337.50,1347.10,1348.288459900336470888,93916,6462,126625859.00,34155,36.37,29.90,1.40
26-February-2015,1337.00,1372.40,1336.00,1345.70,1357.830613872997906708,146659,13307,199138080.00,39920,27.22,36.40,8.70
25-February-2015,1310.00,1348.00,1310.00,1341.00,1340.005555407458747634,187565,10622,251338142.00,113628,60.58,38.00,31.00
24-February-2015,1302.00,1319.50,1297.00,1309.25,1308.803582593204806481,233518,10902,305629195.00,128084,54.85,22.50,7.25
23-February-2015,1333.00,1337.30,1306.50,1309.80,1317.066058007889757213,93539,5871,123197042.00,43235,46.22,30.80,-23.20
20-February-2015,1353.50,1353.50,1326.00,1333.40,1335.818672822379567768,135159,10081,180547916.00,77145,57.08,27.50,-20.10
19-February-2015,1330.00,1357.00,1324.00,1353.25,1341.691832676272546488,200641,15800,269198391.00,96156,47.92,33.00,23.25
18-February-2015,1290.00,1333.00,1289.00,1326.20,1316.132930563693246514,1085484,16806,1428641238.00,940993,86.69,44.00,36.20
16-February-2015,1280.00,1298.75,1268.30,1288.10,1289.036650403672988921,264199,12485,340562194.00,132012,49.97,30.45,8.10
13-February-2015,1259.00,1275.00,1245.00,1268.50,1259.811860560096365112,193431,7257,243686668.00,112112,57.96,30.00,9.50
12-February-2015,1255.00,1260.00,1241.20,1254.30,1249.740428282560413697,60334,6324,75401839.00,14788,24.51,18.80,-0.70
11-February-2015,1245.00,1267.95,1243.80,1247.40,1254.491368010665352169,89261,7264,111977154.00,18049,20.22,24.15,2.40
10-February-2015,1260.00,1293.60,1232.70,1244.80,1258.487985776883844551,111368,9174,140155290.00,30462,27.35,60.90,-15.20
9-February-2015,1270.00,1275.90,1246.20,1270.85,1261.870504882874832450,78335,5701,98848626.00,18693,23.86,29.70,0.85
6-February-2015,1250.00,1289.00,1245.00,1279.50,1277.446670205262813474,275062,26480,351377036.00,89430,32.51,44.00,29.50
5-February-2015,1233.10,1292.35,1209.30,1248.90,1261.423095670669561749,180536,12295,227732280.00,64168,35.54,83.05,15.80
4-February-2015,1244.00,1252.25,1223.95,1233.10,1241.455758862705624422,72523,5733,90034096.00,21280,29.34,28.30,-10.90
3-February-2015,1270.00,1271.00,1227.80,1232.40,1247.595369502052362138,130094,6728,162304672.00,69323,53.29,43.20,-37.60
2-February-2015,1265.00,1285.00,1244.00,1270.30,1260.643739799487059920,90069,8468,113544921.00,16010,17.78,41.00,5.30
30-January-2015,1323.00,1333.20,1258.00,1265.65,1277.931235270250438115,231674,11335,296063441.00,136904,59.09,75.20,-57.35
29-January-2015,1339.00,1343.00,1296.00,1309.55,1311.914147457825160258,248193,14127,325607908.00,98895,39.85,47.00,-29.45
28-January-2015,1316.80,1360.70,1301.25,1344.70,1338.956547960075988300,165815,12922,222019080.00,54591,32.92,59.45,27.90
27-January-2015,1306.15,1320.35,1288.05,1315.65,1310.657257447459702101,313664,17701,411105998.00,244807,78.05,32.30,9.50
23-January-2015,1287.10,1340.30,1280.70,1290.45,1303.780150889556626818,277554,22070,361869396.00,119481,43.05,59.60,3.35
22-January-2015,1290.00,1293.65,1271.20,1279.80,1278.757607823842229067,148367,9987,189725430.00,82490,55.60,22.45,-10.20
