Date,Open,High,Low,ClosePrice,Adj Close,Volume
2015-05-12,168.699997,168.699997,163.800003,164.529999,137.591568,11975115
2015-05-13,165.199997,169.949997,165.119995,168.149994,140.618866,19426025
2015-05-14,167.880005,169,165.279999,167.759995,140.292709,15087310
2015-05-15,168.880005,172.860001,168.320007,169.910004,142.090698,17026980
2015-05-18,170.740005,173.759995,170.410004,172.910004,144.599518,11991900
2015-05-19,172.800003,175.550003,171.600006,172.809998,144.515869,17563885
2015-05-20,173.339996,175.800003,173.199997,174.960007,146.313873,11868010
2015-05-21,173.990005,174.199997,170.580002,172.160004,151.779938,9573470
2015-05-22,172.759995,174.5,172.240005,173.369995,152.84668,9091245
2015-05-25,173.399994,173.649994,170.110001,170.539993,150.3517,6228425
2015-05-26,171.240005,172.899994,169.050003,172.149994,151.771103,8637040
2015-05-27,169.600006,174.800003,169.600006,174.179993,153.560791,9011875
2015-05-28,174.339996,175.179993,171.220001,171.809998,151.471329,15283635
2015-05-29,172.139999,176.869995,172.139999,176.460007,155.570892,10859570
2015-06-01,176.979996,179.5,175.619995,175.910004,155.086014,12704125
2015-06-02,176.589996,176.610001,168.270004,169.139999,149.117416,16620215
2015-06-03,168.600006,168.740005,165,165.880005,146.243347,21569610
2015-06-04,167,167.179993,164.050003,165.429993,145.846603,16055485
2015-06-05,165.399994,168.199997,163.630005,164.679993,145.185394,13471950
2015-06-08,166,166.100006,163.110001,164.520004,145.044342,10556045
2015-06-09,164.580002,167.100006,163.639999,164.639999,145.150116,11576335
2015-06-10,164.600006,167.279999,164.600006,166.690002,146.957458,8792205
2015-06-11,168,168.690002,160.399994,160.919998,141.870499,15458335
2015-06-12,159.779999,162.169998,158.800003,161.089996,142.020355,15189245
2015-06-15,162.380005,163,159.610001,160.710007,141.685349,9629465
2015-06-16,160.800003,163.800003,159.220001,163.100006,143.79245,10452720
2015-06-17,164,164.740005,162.320007,163.419998,144.074554,10595150
2015-06-18,162.100006,165.679993,161.429993,164.929993,145.405792,15115310
2015-06-19,165.199997,166.949997,164.399994,165.979996,146.331497,9672370
2015-06-22,167.160004,172.800003,167.020004,171.880005,151.533066,16062505
2015-06-23,172.179993,173.960007,171.160004,173.279999,152.767334,12920395
2015-06-24,172.199997,174.759995,170.5,172.009995,151.647675,9633250
2015-06-25,171.479996,173,169.600006,171.729996,151.400833,9546750
2015-06-26,170.399994,171.119995,167.919998,170.149994,150.007858,8739610
2015-06-29,166.600006,168,164.800003,167.509995,147.680374,13008910
2015-06-30,167.800003,169.199997,166.809998,168.770004,148.791229,10901255
2015-07-01,168.779999,174.300003,168.330002,173.410004,152.881927,10008360
2015-07-02,173.600006,175.600006,173.399994,173.940002,153.349213,12745860
2015-07-03,173.960007,174.910004,172.440002,174.270004,153.640167,5434175
2015-07-06,171.940002,174.139999,171,173.910004,153.322769,9839550
2015-07-07,174,175.580002,171.25,172.399994,151.991516,8516965
2015-07-08,170,170.529999,158.440002,159.5,140.618591,51260720
2015-07-09,161.800003,164,159,159.960007,141.024139,30729465
2015-07-10,161.589996,162.869995,160.800003,161.970001,142.796204,12458255
2015-07-13,163,164.020004,157.600006,162.899994,143.616119,23861560
2015-07-14,163,164.380005,161.199997,162.399994,143.175293,13142700
2015-07-15,162.339996,163,160.199997,160.860001,141.817612,13717715
2015-07-16,161.600006,167.139999,160.960007,166.070007,146.410843,28100665
2015-07-17,164.199997,167.199997,162.399994,164.910004,145.388168,21185955
2015-07-20,165.179993,165.399994,162.800003,163.589996,144.224426,10734130
2015-07-21,164,164.509995,161.009995,161.529999,142.408295,7971710
2015-07-22,161.399994,164.979996,160.220001,164.619995,145.132477,13214535
2015-07-23,164.399994,166.399994,163.009995,164.070007,144.647614,9892340
2015-07-24,164.199997,165.5,161.199997,161.630005,142.496445,12759565
2015-07-27,161.600006,161.869995,156.449997,157.059998,138.467438,16092860
2015-07-28,157.589996,159.990005,156.820007,158.990005,140.168991,10796865
2015-07-29,160.380005,164.199997,159.199997,163.220001,143.898239,32223395
2015-07-30,164.399994,165.179993,161.759995,162.5,143.263443,19520480
2015-07-31,163.580002,168.160004,162.820007,165.789993,146.164001,21541175
2015-08-03,166.990005,168.179993,164.850006,166.649994,146.92218,19091075
2015-08-04,166.300003,168.699997,165.009995,168.330002,148.403305,18714140
2015-08-05,168.800003,169.289993,165.839996,166.119995,146.454926,6614900
2015-08-06,166.600006,167.279999,165,165.520004,145.925949,7253480
2015-08-07,165.600006,165.940002,163.869995,164.289993,144.841568,6664450
2015-08-10,164.800003,166.860001,162.419998,163.350006,144.012833,11091580
2015-08-11,164,164.600006,159.399994,159.729996,140.821381,12570600
2015-08-12,158.960007,159,153.339996,154,135.769684,15414625
2015-08-13,156,157,151.440002,152.429993,134.385513,17850695
2015-08-14,153.199997,159.759995,153,159.360001,140.495178,18962485
2015-08-17,159.389999,160.5,156.679993,158.119995,139.401947,7442630
2015-08-18,158.990005,160,156.350006,157.199997,138.590866,9974165
2015-08-19,157.600006,157.919998,154.309998,154.850006,136.519058,8477175
2015-08-20,154.800003,155.160004,140.660004,144.009995,126.962273,34706850
2015-08-21,141.789993,141.800003,135.860001,138.429993,122.042831,47775905
2015-08-24,132.600006,132.600006,119,125.940002,111.031387,49036520
2015-08-25,129.600006,136.990005,127.5,136.139999,120.023918,35878850
2015-08-26,136.139999,139,132.559998,136.330002,120.191429,28419915
2015-08-27,140.940002,141,133.720001,137.520004,121.24057,30871450
2015-08-28,139.970001,140.360001,131.759995,135.339996,119.318611,29301755
2015-08-31,135.389999,138.850006,134.199997,137.889999,121.566757,14909355
2015-09-01,135.979996,135.979996,130.559998,133.279999,117.502487,20935610
2015-09-02,135,135.440002,130.460007,131.850006,116.241776,18930000
2015-09-03,133.199997,135.279999,132.160004,134.339996,118.436996,15062695
2015-09-04,133,133.600006,127,129.440002,114.117058,18705090
2015-09-07,129.800003,131.25,128.220001,130.139999,114.734192,13447880
2015-09-08,131.279999,140.179993,130.639999,139.369995,122.871552,34189085
2015-09-09,143.550003,144.779999,142,143.309998,126.345154,30508645
2015-09-10,139,143.940002,138.199997,142.600006,125.7192,17735250
2015-09-11,143.940002,145.270004,140.869995,142.190002,125.357735,15170375
2015-09-14,142,146.820007,141.259995,146.330002,129.007629,16565705
2015-09-15,146.539993,148.25,145.070007,145.589996,128.35524,16110920
2015-09-16,147,152.080002,147,151.690002,133.733139,27152445
2015-09-18,154.600006,155.800003,152.720001,154.330002,136.060623,26829095
2015-09-21,151.929993,154.559998,151.179993,153.440002,135.27597,16264740
2015-09-22,154.399994,154.759995,144.600006,146.649994,129.289749,19125910
2015-09-23,144.600006,148.779999,142.850006,147.649994,130.171387,28532335
2015-09-24,147.539993,148.699997,143.720001,144.179993,127.112144,18338545
2015-09-28,144,148.300003,144,145.979996,128.699081,17370665
2015-09-29,144.020004,149.800003,140.550003,147.720001,130.233078,38504095
2015-09-30,148.860001,150.869995,144.660004,145.940002,128.663803,21025405
2015-10-01,147.800003,147.880005,143,145.720001,128.469849,18723595
2015-10-05,146.550003,150.600006,146.550003,150.050003,132.287262,16198610
2015-10-06,150.479996,151.320007,147.380005,148.619995,131.026566,13222105
2015-10-07,148.619995,149.130005,146.720001,147.149994,129.730591,12428940
2015-10-08,146.600006,147.100006,144.089996,145.470001,128.249466,13806750
2015-10-09,146.660004,148.380005,144.020004,145.130005,127.949692,13380905
2015-10-12,145.860001,147.300003,144.119995,144.75,127.614685,11647585
2015-10-13,145.179993,147.220001,144.800003,146.759995,129.386734,15112280
2015-10-14,146.600006,148.520004,146,147.740005,130.250732,9671405
2015-10-15,148.399994,152.220001,148.399994,151.830002,133.856567,19755775
2015-10-16,152,154.940002,150.449997,154.710007,136.39563,16218250
