Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
April-2016,194.00,202.50,180.35,188.95,40586433,357973,7791145121.00,8752098,21.56,22.15,-5.05
May-2016,188.00,205.60,166.60,204.85,63797885,517547,11738222162.00,17771196,27.86,39.00,16.85
June-2016,206.00,221.80,195.40,218.65,66554483,553886,13971667728.00,12110375,18.20,26.40,12.65
July-2016,220.50,235.00,216.55,229.05,39186426,291884,8924741907.00,12279233,31.34,18.45,8.55
August-2016,230.95,260.50,223.20,252.55,65329569,388045,15714986534.00,22668181,34.70,37.30,21.60
September-2016,252.45,271.55,243.50,250.70,48509793,266867,12491082418.00,23378626,48.19,28.05,-1.75
October-2016,252.60,264.75,246.10,257.85,52749775,244507,13564926312.00,25154633,47.69,18.65,5.25
November-2016,257.50,288.50,231.00,258.40,51563548,408665,13732158291.00,13189237,25.58,57.50,0.90
December-2016,259.90,269.45,243.10,249.75,28721047,248185,7380916746.00,8481859,29.53,26.35,-10.15
January-2017,252.75,268.25,241.10,260.00,30754585,242900,7802196410.00,11842343,38.51,27.15,7.25
February-2017,261.60,282.45,261.00,269.20,48262139,259158,13181356220.00,22188804,45.98,21.45,7.60
March-2017,270.00,294.25,264.50,292.60,58929663,215902,16467508451.00,40126355,68.09,29.75,22.60
April-2017,294.30,298.65,279.35,289.45,23470681,155056,6808207357.00,7726926,32.92,19.30,-4.85
May-2017,290.80,315.00,281.15,288.55,39682149,252813,11855476479.00,14638281,36.89,33.85,-2.25
June-2017,287.20,295.70,269.80,273.60,22701754,135626,6480188594.00,8804600,38.78,25.90,-13.60
July-2017,274.00,313.90,272.05,312.55,22783387,169845,6641891874.00,8681599,38.10,41.85,38.55
August-2017,313.70,314.90,271.35,277.35,26746075,213406,7704298483.00,7091720,26.51,43.55,-36.35
September-2017,277.90,279.95,248.80,253.75,19064341,150702,5129856324.00,8109332,42.54,31.15,-24.15
October-2017,255.20,351.50,241.25,305.80,43097988,336401,12917336270.00,15016597,34.84,110.25,50.60
November-2017,309.75,346.50,307.00,320.45,42711329,281812,14012012403.00,8432718,19.74,39.50,10.70
December-2017,321.55,323.80,301.00,309.50,22555790,134840,7103146197.00,8900803,39.46,22.80,-12.05
January-2018,310.00,334.80,292.65,312.75,41224324,235940,12763020230.00,18557010,45.01,42.15,2.75
February-2018,316.05,317.45,256.60,268.75,50658444,274766,14259099075.00,21476570,42.39,60.85,-47.30
March-2018,266.80,270.00,232.50,250.10,33865190,226662,8520845419.00,11541620,34.08,37.50,-16.70
April-2018,251.00,265.25,232.00,246.30,28967532,174248,7285970427.00,11607905,40.07,33.25,-4.70
May-2018,246.40,274.00,237.85,269.20,40097081,211922,10133730915.00,14368921,35.84,36.15,22.80
June-2018,269.50,289.35,255.85,259.30,18487129,130349,5034878130.00,3938313,21.30,33.50,-10.20
July-2018,259.90,302.30,250.35,293.40,22599394,162889,6122178464.00,6738235,29.82,51.95,33.50
August-2018,295.00,325.85,289.00,308.85,36607448,261698,11149175031.00,8050872,21.99,36.85,13.85
September-2018,312.00,312.20,253.60,265.00,31333502,203783,8705617257.00,6806183,21.72,58.60,-47.00
October-2018,265.50,281.80,247.65,280.50,39597471,228731,10483055630.00,13322204,33.64,34.15,15.00
November-2018,282.50,299.90,273.50,284.35,34583625,167520,9866706951.00,12890860,37.27,26.40,1.85
December-2018,287.40,301.95,261.10,295.65,27217027,155467,7905690449.00,10320280,37.92,40.85,8.25
January-2019,297.00,307.20,276.60,293.35,30328402,157070,8988721024.00,11821596,38.98,30.60,-3.65
February-2019,296.05,302.35,258.80,269.75,22209643,153253,6165427611.00,5957760,26.83,43.55,-26.30
March-2019,270.00,322.95,270.00,320.80,38972759,183823,11465380382.00,17726487,45.48,52.95,50.80
April-2019,322.00,332.65,303.60,310.20,16834775,134097,5318986591.00,3900943,23.17,29.05,-11.80
May-2019,308.00,364.00,292.20,352.55,44200380,278624,14570177002.00,14858487,33.62,71.80,44.55
June-2019,352.05,364.85,333.75,360.90,18424196,140300,6400178901.00,5397491,29.30,31.10,8.85
July-2019,362.20,373.70,323.90,332.05,18598340,190937,6604482580.00,4923321,26.47,49.80,-30.15
August-2019,331.00,331.55,262.70,273.70,37196649,236409,10759673390.00,15423851,41.47,68.85,-57.30
September-2019,271.90,315.50,267.15,270.90,32522385,254740,9311408271.00,6265619,19.27,48.35,-1.00
October-2019,273.80,318.00,244.35,312.25,51021930,380788,13732389616.00,11462622,22.47,73.65,38.45
November-2019,312.80,351.00,299.85,341.85,32134975,275648,10428213681.00,6008842,18.70,51.15,29.05
December-2019,343.35,344.35,308.10,333.70,28016276,342768,9207558536.00,4649788,16.60,36.25,-9.65
January-2020,334.50,339.85,305.70,318.55,29506247,311422,9476559684.00,6827158,23.14,34.15,-15.95
February-2020,319.90,330.85,295.50,327.45,16580333,166645,5228903309.00,3172541,19.13,35.35,7.55
