Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
May-2017,6674.00,7239.00,6605.00,7214.90,1886215,81169,12819668337.00,1278343,67.77,634.00,540.90
June-2017,7247.90,7469.00,7087.55,7217.90,705395,72487,5126918879.00,218921,31.04,381.45,-30.00
July-2017,7240.50,7779.00,7218.05,7707.95,652907,76477,4918375397.00,261109,39.99,560.95,467.45
August-2017,7732.00,7920.00,7377.75,7702.50,500265,63517,3840244411.00,154830,30.95,542.25,-29.50
September-2017,7765.00,8200.00,7651.40,7973.15,597890,55197,4755065987.00,251871,42.13,548.60,208.15
October-2017,8050.00,8282.85,7690.05,8217.10,438267,57110,3491566321.00,141635,32.32,592.80,167.10
November-2017,8230.00,8695.00,8083.55,8602.30,411628,46784,3446807617.00,156897,38.12,611.45,372.30
December-2017,8645.25,10000.00,8455.35,9731.35,2332080,91912,21528044628.00,579822,24.86,1544.65,1086.10
January-2018,9749.00,9790.00,9236.45,9514.15,1474050,96644,13909838668.00,893769,60.63,553.55,-234.85
February-2018,9530.20,9560.95,8500.00,8873.15,946635,102608,8450062412.00,339910,35.91,1060.95,-657.05
March-2018,8873.25,9085.40,8544.00,8863.15,527159,67678,4630477019.00,210958,40.02,541.40,-10.10
April-2018,8989.00,9345.00,8721.10,8822.80,582499,72585,5274147688.00,192081,32.98,623.90,-166.20
May-2018,8900.00,8994.00,8260.05,8534.95,708138,83627,6125988793.00,330411,46.66,733.95,-365.05
June-2018,8625.00,9098.15,8590.60,8821.20,847297,75885,7505293829.00,285229,33.66,507.55,196.20
July-2018,8885.00,9922.85,8760.00,9506.40,759470,86488,7137879376.00,247705,32.62,1162.85,621.40
August-2018,9512.00,9590.00,9014.55,9097.25,817196,98600,7532802982.00,389093,47.61,575.45,-414.75
September-2018,9100.00,9110.00,7300.75,7350.55,1586826,184055,13115900335.00,754714,47.56,1809.25,-1749.45
October-2018,7355.00,7499.60,6501.65,6608.95,1810183,228346,12537789202.00,422763,23.35,997.95,-746.05
November-2018,6673.80,7719.00,6601.00,7664.60,1533761,146481,11179092440.00,427734,27.89,1118.00,990.80
December-2018,7704.00,7929.00,7162.35,7462.30,1120332,132175,8463911383.00,228200,20.37,766.65,-241.70
January-2019,7457.90,7525.00,6324.35,6628.05,1401867,148180,9898285743.00,370066,26.40,1200.65,-829.85
February-2019,6655.00,7314.00,6655.00,6832.25,1054072,108659,7353512294.00,275204,26.11,659.00,177.25
March-2019,6889.00,7229.00,6483.55,6671.70,1073946,114124,7310280689.00,328342,30.57,745.45,-217.30
April-2019,6711.00,7542.00,6634.60,6658.70,1672947,150344,11757051681.00,636113,38.02,907.40,-52.30
May-2019,6595.05,7190.00,6445.00,6863.65,1339956,154099,9121671020.00,464491,34.66,745.00,268.60
June-2019,6748.00,7102.00,6325.10,6534.00,931428,101988,6189458371.00,292406,31.39,776.90,-214.00
July-2019,6555.05,6600.00,5447.00,5472.15,1634314,191116,9686695581.00,518816,31.75,1153.00,-1082.90
August-2019,5460.00,6464.30,5447.20,6121.60,2113929,204130,12702953132.00,739304,34.97,1017.10,661.60
September-2019,6008.00,7183.75,5790.00,6717.30,3189082,298146,20184762014.00,1075573,33.73,1393.75,709.30
October-2019,6732.00,7755.00,6560.00,7557.50,1084125,149035,7707173418.00,160560,14.81,1195.00,825.50
November-2019,7580.00,7647.85,7001.00,7249.55,1123834,119357,8135778143.00,294745,26.23,646.85,-330.45
December-2019,7271.00,7429.55,6862.15,7367.20,928912,102706,6665273536.00,308824,33.25,567.40,96.20
January-2020,7380.05,7566.00,6890.15,6911.70,680786,88777,4904703115.00,228519,33.57,675.85,-468.35
February-2020,6913.00,7227.90,6737.15,7000.85,273923,47433,1916431468.00,57720,21.07,490.75,87.85
