Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI
NIFTY,02-Jan-2018,28-Mar-2018,CE,7000,3475,3475,3410,3439.15,3430,3439.15,161,1259.13,413.88,198975,1875
NIFTY,02-Jan-2018,28-Mar-2018,CE,7100,0,0,0,2531.25,0,3448.4,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,7200,0,0,0,2437.95,0,3349.9,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,7300,0,0,0,2344.8,0,3251.4,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,7400,0,0,0,2251.85,0,3152.9,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,7500,0,0,0,2990,2990,3054.4,0,0,0,1125,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,7600,0,0,0,2066.65,0,2955.85,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,7700,0,0,0,1974.65,0,2857.35,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,7800,0,0,0,1883.1,0,2758.85,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,7900,0,0,0,1792.15,0,2660.35,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,8000,2460,2472.7,2454,2470.1,2467.5,2470.1,6,47.08,11.08,74700,-150
NIFTY,02-Jan-2018,28-Mar-2018,CE,8100,0,0,0,1612.7,0,2463.35,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,8200,0,0,0,1524.5,0,2364.85,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,8300,0,0,0,2230,2230,2266.35,0,0,0,3150,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,8400,0,0,0,1352.1,0,2167.85,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,8500,1975,1980,1950,1974.25,1975,1974.25,142,1115.35,210.1,544050,9375
NIFTY,02-Jan-2018,28-Mar-2018,CE,8600,0,0,0,1778,1778,1970.85,0,0,0,555450,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,8700,0,0,0,1643,1643,1872.35,0,0,0,587025,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,8800,0,0,0,1028.9,0,1773.85,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,8900,0,0,0,953.8,0,1675.4,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,8950,0,0,0,1620.95,0,1626.15,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9000,1500,1500,1500,1500,1500,1500,1,7.88,1.13,16350,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9050,0,0,0,1571.6,0,1527.8,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9100,0,0,0,812.15,0,1478.65,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9150,0,0,0,1473.4,0,1429.5,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9200,0,0,0,745.2,0,1380.45,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9250,0,0,0,1375.4,0,1331.45,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9300,0,0,0,681.85,0,1282.5,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9350,0,0,0,1277.7,0,1233.7,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9400,0,0,0,621.8,0,1185,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9450,0,0,0,1180.5,0,1136.5,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9500,0,0,0,1077.6,1077.6,1088.2,0,0,0,6675,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9550,0,0,0,1084,0,1040.1,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9600,0,0,0,511.75,0,992.35,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9650,0,0,0,988.65,0,944.95,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9700,0,0,0,900,900,898,0,0,0,4350,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9750,0,0,0,894.9,0,851.5,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9800,0,0,0,855,855,805.6,0,0,0,3300,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9850,0,0,0,803.2,0,760.35,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,9900,660,660,660,660,660,660,1,7.92,0.5,975,-75
NIFTY,02-Jan-2018,28-Mar-2018,CE,9950,0,0,0,714.3,0,672.25,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,10000,620,620,590,601.15,601.15,601.15,90,715.75,40.75,164025,-2025
NIFTY,02-Jan-2018,28-Mar-2018,CE,10050,0,0,0,628.85,0,587.9,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,10100,0,0,0,591.45,591.45,547.35,0,0,0,1200,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,10150,0,0,0,547.6,0,508.05,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,10200,0,0,0,500,500,470.1,0,0,0,17475,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,10250,0,0,0,471.25,0,433.45,0,0,0,0,0
