Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Stock Price
NIFTY,01-Jan-2018,28-Mar-2018,PE,11950,0,0,0,1286.45,0,1337.2,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,12000,0,0,0,1320.05,1320.05,1385.8,0,0,0,4275,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,12050,0,0,0,1336.4,0,1434.55,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,12100,0,0,0,1829.95,0,1483.4,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,12200,0,0,0,1874.3,0,1581.25,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,12300,0,0,0,1856.65,0,1679.35,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,12400,0,0,0,1910.6,0,1777.55,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,12500,1863.2,1913.45,1845.85,1898.75,1900,1898.75,234,2521.11,327.36,103725,4575,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,12600,0,0,0,2039.55,0,1974.3,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,12700,0,0,0,2070.2,0,2072.7,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,12800,0,0,0,2106.8,0,2171.15,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,12900,0,0,0,2128.2,0,2269.65,0,0,0,0,0,10435.55
NIFTY,02-Jan-2018,28-Mar-2018,PE,11000,530,565.95,513.9,548.25,546.8,548.25,67,580.4,27.65,92325,1125,10442.2
NIFTY,02-Jan-2018,28-Mar-2018,PE,11050,0,0,0,483.35,0,513.8,0,0,0,0,0,10442.2
NIFTY,02-Jan-2018,28-Mar-2018,PE,11100,0,0,0,1287.95,0,553.25,0,0,0,0,0,10442.2
NIFTY,02-Jan-2018,28-Mar-2018,PE,11150,0,0,0,560.25,0,593.85,0,0,0,0,0,10442.2
NIFTY,02-Jan-2018,28-Mar-2018,PE,11200,0,0,0,1370.65,0,635.45,0,0,0,0,0,10442.2
NIFTY,01-Jan-2019,28-Mar-2019,PE,7600,0,0,0,1.35,1.35,0,0,0,0,675,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,7700,0,0,0,7.75,0,0,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,7800,0,0,0,9.75,0,0,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,7900,0,0,0,3.35,3.35,0,0,0,0,1500,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,8000,2.9,2.9,1.5,2.1,2,2.1,875,5251.43,1.43,327600,-14250,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,8100,0,0,0,18.4,0,0.05,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,8200,0,0,0,22.4,0,0.05,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,8300,0,0,0,27.1,0,0.05,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,8400,0,0,0,32.55,0,0.1,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,8500,4.25,8.5,4.25,5.55,5.55,5.55,9,57.42,0.05,30375,150,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,8600,0,0,0,46.1,0,0.2,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,8700,0,0,0,54.4,0,0.35,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,8800,0,0,0,63.8,0,0.55,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,8900,0,0,0,74.4,0,0.85,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9000,17.55,19.2,16.1,16.8,16.1,16.8,42,284.06,0.56,42300,825,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9100,0,0,0,99.55,0,2.05,0,0,0,0,0,10910.1
