Symbol,Date,Expiry,Option Type,Strike Price,Stock Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI
NIFTY,01-Jan-2019,28-Mar-2019,CE,13700,10910.1,0,0,0,23.95,0,1.65,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,13800,10910.1,0,0,0,19.2,0,1.25,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,13900,10910.1,0,0,0,19.85,0,0.95,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,14000,10910.1,0.95,1,0.85,1,0.85,1,68,714.05,0.05,255675,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,14100,10910.1,0,0,0,20.7,0,0.55,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,7600,10910.1,0,0,0,3075,3075,3442.55,0,0,0,675,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,7700,10910.1,0,0,0,2970.55,0,3344.3,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,7800,10910.1,0,0,0,2879.65,0,3246,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,7900,10910.1,0,0,0,2789.15,0,3147.75,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8000,10910.1,2920,2963,2843,2952.75,2951.2,2952.75,437,3579.35,957.35,811425,-3225
NIFTY,01-Jan-2019,28-Mar-2019,CE,8100,10910.1,0,0,0,2609.7,0,2951.25,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8200,10910.1,0,0,0,2520.85,0,2853,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8300,10910.1,0,0,0,2432.65,0,2754.75,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8400,10910.1,0,0,0,2345.25,0,2656.55,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8500,10910.1,2463.95,2463.95,2449.15,2449.15,2449.15,2449.15,2,16.43,3.68,506775,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8600,10910.1,2380,2380,2380,2380,2380,2380,1,8.24,1.79,995775,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8700,10910.1,2280,2280,2242.3,2261.15,2242.3,2261.15,2,16.44,3.39,715350,75
NIFTY,01-Jan-2019,28-Mar-2019,CE,8800,10910.1,0,0,0,2005,0,2263.95,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8900,10910.1,0,0,0,1922.75,0,2166.05,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9000,10910.1,0,0,0,1830,1830,2068.25,0,0,0,8325,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9100,10910.1,0,0,0,1762.2,0,1970.7,0,0,0,0,0
