"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","335","0","0","0","9.9","0","11","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","340","0","0","0","8.2","0","9.35","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","345","0","0","0","6.7","0","7.9","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","350","0","0","0","5.5","0","6.65","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","355","0","0","0","4.45","0","5.55","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","360","0","0","0","3.55","0","4.6","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","365","0","0","0","2.8","0","3.8","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","370","0","0","0","2.25","0","3.15","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","375","0","0","0","4.3","4.3","2.55","0","0","0","4800","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","380","0","0","0","1.35","0","2.1","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","385","0","0","0","1.05","0","1.7","0","0","0","0","0","318.4"
"WIPRO","05-Nov-2018","27-Dec-2018","CE","220","0","0","0","103.1","0","106.5","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","CE","385","0","0","0","1.05","0","2.05","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","CE","230","0","0","0","93.3","0","96.6","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","CE","235","0","0","0","88.4","0","91.7","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","CE","240","0","0","0","83.5","0","86.75","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","CE","245","0","0","0","78.6","0","81.85","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","CE","250","0","0","0","73.75","0","77","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","CE","255","0","0","0","68.9","0","72.15","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","CE","260","0","0","0","64.1","0","67.35","0","0","0","0","0","324.1"
