Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Stock Price
WIPRO,01-Jan-2019,28-Mar-2019,CE,250,0,0,0,82.95,0,81.55,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,255,0,0,0,78.3,0,76.85,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,260,0,0,0,73.75,0,72.25,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,265,0,0,0,69.3,0,67.65,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,270,0,0,0,64.95,0,63.2,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,275,0,0,0,60.7,0,58.85,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,280,0,0,0,56.55,0,54.6,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,285,0,0,0,52.55,0,50.45,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,290,0,0,0,48.7,0,46.5,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,295,0,0,0,45,0,42.7,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,300,0,0,0,41.4,0,39.05,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,305,0,0,0,38,0,35.6,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,310,0,0,0,34.8,0,32.3,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,315,0,0,0,31.75,0,29.2,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,320,0,0,0,28.9,0,26.3,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,325,0,0,0,26.25,0,23.65,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,330,0,0,0,23.7,0,21.15,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,335,0,0,0,21.4,0,18.85,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,340,0,0,0,19.25,0,16.7,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,345,0,0,0,17.25,0,14.8,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,350,0,0,0,15.45,0,13,0,0,0,0,0,326.65
